date,time,name,price,priceCurrency,seller,availability,itemCondition
13/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Baratheon; Laca; ISGOT-BT,240.00,EUR,Iguana Sell,no_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTRBT,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTBBT,200.00,EUR,Iguana Sell,no_stock,New
13/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Lannister; Laca; ISGOT-LN,245.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Lannister; Laca; ISGOTRLN,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Lannister; Laca; ISGOTBLN,210.00,EUR,Iguana Sell,no_stock,New
13/4/2018,21:01,Pluma Estilográfica Montegrappa Game of Thrones Stark; Laca; ISGOT-SK,245.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTRSK,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTBSK,210.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Pluma Estilográfica Montegrappa Game of Thrones Targaryen; Laca negra,245.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTRTY,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTBTY,210.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Set Roller Montegrappa Game of Thrones & Libreta de Notas Moleskine,250.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Set Roller Montegrappa Game of Thrones Stark & Libreta de notas Moleskine,260.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Set Bolígrafo Montegrappa Game of Thrones & Libreta de notas Moleskine,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Set Bolígrafo Montegrappa Game of Thrones & Libreta Moleskine,225.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Iron Throne; Edición Limitada,3400.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Westeros; Resina; Acero inoxidable; ISGOTRWE,235.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Westeros; Resina; Negro; ISGOTBWE,210.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Estilográfica Montegrappa Game of  Thrones Westeros; Resina; ISGOT-WE,245.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Set Estilográfica Montegrappa Game of Thrones & Libreta Moleskine,260.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Iron Throne; Ed. Limitada,3900.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Iron Throne; Edición Limitada,48900.00,EUR,Iguana Sell,in_stock,New
13/4/2018,21:01,Roller Montegrappa Game of Thrones Iron Throne; Oro 18k; Edición Limitada,52900.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Estilográfica Montegrappa Game of Thrones Baratheon; Laca; ISGOT-BT,240.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTRBT,240.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Bolígrafo Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTBBT,200.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Estilográfica Montegrappa Game of Thrones Lannister; Laca; ISGOT-LN,245.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Lannister; Laca; ISGOTRLN,235.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Bolígrafo Montegrappa Game of Thrones Lannister; Laca; ISGOTBLN,210.00,EUR,Iguana Sell,no_stock,New
14/4/2018,21:00,Pluma Estilográfica Montegrappa Game of Thrones Stark; Laca; ISGOT-SK,245.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTRSK,235.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Bolígrafo Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTBSK,215.00,EUR,Iguana Sell,no_stock,New
14/4/2018,21:00,Pluma Estilográfica Montegrappa Game of Thrones Targaryen; Laca negra,245.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTRTY,235.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Bolígrafo Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTBTY,210.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Set Roller Montegrappa Game of Thrones & Libreta de Notas Moleskine,250.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Set Roller Montegrappa Game of Thrones Stark & Libreta de notas Moleskine,260.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Set Bolígrafo Montegrappa Game of Thrones & Libreta de notas Moleskine,235.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Set Bolígrafo Montegrappa Game of Thrones & Libreta Moleskine,225.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Iron Throne; Edición Limitada,3400.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Westeros; Resina; Acero inoxidable; ISGOTRWE,235.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Bolígrafo Montegrappa Game of Thrones Westeros; Resina; Negro; ISGOTBWE,210.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Estilográfica Montegrappa Game of  Thrones Westeros; Resina; ISGOT-WE,245.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Set Estilográfica Montegrappa Game of Thrones & Libreta Moleskine,260.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Estilográfica Montegrappa Game of Thrones Iron Throne; Ed. Limitada,3900.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Estilográfica Montegrappa Game of Thrones Iron Throne; Edición Limitada,48900.00,EUR,Iguana Sell,in_stock,New
14/4/2018,21:00,Roller Montegrappa Game of Thrones Iron Throne; Oro 18k; Edición Limitada,52900.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Baratheon; Laca; ISGOT-BT,245.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTRBT,235.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Baratheon; Laca negra; ISGOTBBT,210.00,EUR,Iguana Sell,no_stock,New
15/4/2018,21:01,Estilográfica Montegrappa Game of Thrones Lannister; Laca; ISGOT-LN,245.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Lannister; Laca; ISGOTRLN,235.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Lannister; Laca; ISGOTBLN,210.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Pluma Estilográfica Montegrappa Game of Thrones Stark; Laca; ISGOT-SK,245.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTRSK,235.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Stark; Laca; Blanco; ISGOTBSK,210.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Pluma Estilográfica Montegrappa Game of Thrones Targaryen; Laca negra,245.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTRTY,235.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Bolígrafo Montegrappa Game of Thrones Targaryen; Laca negra; ISGOTBTY,210.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Set Roller Montegrappa Game of Thrones & Libreta de Notas Moleskine,250.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Set Roller Montegrappa Game of Thrones Stark & Libreta de notas Moleskine,260.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Set Bolígrafo Montegrappa Game of Thrones & Libreta de notas Moleskine,235.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Set Bolígrafo Montegrappa Game of Thrones & Libreta Moleskine,225.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Iron Throne; Edición Limitada,3400.00,EUR,Iguana Sell,in_stock,New
15/4/2018,21:01,Roller Montegrappa Game of Thrones Westeros; Resina; Acero inoxidable; ISGOTRWE,235.00,EUR,Iguana Sell,in_stock,New
